 2015      2016      2017      2018      2019      2020      2021     2022 
------    ------    ------    ------    ------    ------    ------   ------
[ ] 01    [ ] 01    [ ] 01    [ ] 01    [X] 01    [X] 01    [X] 01   [X] 01
[ ] 02    [ ] 02    [ ] 02    [ ] 02    [X] 02    [X] 02    [X] 02   [X] 02
[ ] 03    [ ] 03    [ ] 03    [ ] 03    [X] 03    [X] 03    [X] 03   [X] 03
[ ] 04    [ ] 04    [ ] 04    [d] 04    [ ] 04    [X] 04    [X] 04   [X] 04
[ ] 05    [ ] 05    [ ] 05    [ ] 05    [ ] 05    [X] 05    [X] 05   [ ] 05
[ ] 06    [ ] 06    [ ] 06    [ ] 06    [ ] 06    [X] 06    [X] 06   [ ] 06
[ ] 07    [ ] 07    [d] 07    [ ] 07    [ ] 07    [X] 07    [X] 07   [ ] 07
[ ] 08    [ ] 08    [ ] 08    [ ] 08    [ ] 08    [X] 08    [X] 08   [ ] 08
[ ] 09    [ ] 09    [ ] 09    [ ] 09    [ ] 09    [X] 09    [X] 09   [ ] 09
[ ] 10    [ ] 10    [ ] 10    [ ] 10    [ ] 10    [X] 10    [X] 10   [ ] 10
[ ] 11    [X] 11    [ ] 11    [ ] 11    [ ] 11    [X] 11    [X] 11   [ ] 11
[ ] 12    [ ] 12    [ ] 12    [ ] 12    [ ] 12    [X] 12    [X] 12   [ ] 12
[ ] 13    [ ] 13    [ ] 13    [ ] 13    [ ] 13    [X] 13    [X] 13   [ ] 13
[ ] 14    [ ] 14    [ ] 14    [ ] 14    [ ] 14    [X] 14    [X] 14   [ ] 14
[ ] 15    [ ] 15    [ ] 15    [ ] 15    [ ] 15    [X] 15    [X] 15   [ ] 15
[ ] 16    [ ] 16    [ ] 16    [ ] 16    [ ] 16    [X] 16    [X] 16   [ ] 16
[ ] 17    [ ] 17    [ ] 17    [ ] 17    [ ] 17    [X] 17    [X] 17   [ ] 17
[ ] 18    [ ] 18    [ ] 18    [ ] 18    [ ] 18    [ ] 18    [ ] 18   [ ] 18
[ ] 19    [ ] 19    [ ] 19    [ ] 19    [ ] 19    [ ] 19    [ ] 19   [ ] 19
[ ] 20    [ ] 20    [ ] 20    [ ] 20    [ ] 20    [ ] 20    [ ] 20   [ ] 20
[ ] 21    [ ] 21    [ ] 21    [ ] 21    [ ] 21    [ ] 21    [ ] 21   [ ] 21
[ ] 22    [ ] 22    [ ] 22    [ ] 22    [ ] 22    [ ] 22    [ ] 22   [ ] 22
[ ] 23    [ ] 23    [ ] 23    [ ] 23    [ ] 23    [ ] 23    [ ] 23   [ ] 23
[ ] 24    [ ] 24    [ ] 24    [ ] 24    [ ] 24    [ ] 24    [ ] 24   [ ] 24
[ ] 25    [ ] 25    [ ] 25    [ ] 25    [ ] 25    [ ] 25    [ ] 25   [ ] 25 
